,gene
0,ENSG00000002549
1,ENSG00000006194
2,ENSG00000006459
3,ENSG00000006704
4,ENSG00000008311
5,ENSG00000008324
6,ENSG00000011451
7,ENSG00000019144
8,ENSG00000025770
9,ENSG00000040199
10,ENSG00000041880
11,ENSG00000042493
12,ENSG00000047579
13,ENSG00000048740
14,ENSG00000051382
15,ENSG00000053372
16,ENSG00000053702
17,ENSG00000056050
18,ENSG00000058600
19,ENSG00000059758
20,ENSG00000065243
21,ENSG00000066651
22,ENSG00000067334
23,ENSG00000067365
24,ENSG00000067533
25,ENSG00000067829
26,ENSG00000068796
27,ENSG00000069011
28,ENSG00000069399
29,ENSG00000070476
30,ENSG00000070831
31,ENSG00000071462
32,ENSG00000071889
33,ENSG00000071994
34,ENSG00000072756
35,ENSG00000074590
36,ENSG00000075539
37,ENSG00000076201
38,ENSG00000077063
39,ENSG00000078043
40,ENSG00000080815
41,ENSG00000083123
42,ENSG00000083635
43,ENSG00000083799
44,ENSG00000084693
45,ENSG00000085721
46,ENSG00000086065
47,ENSG00000088205
48,ENSG00000088451
49,ENSG00000089009
50,ENSG00000089022
51,ENSG00000089335
52,ENSG00000090316
53,ENSG00000090565
54,ENSG00000091651
55,ENSG00000092931
56,ENSG00000097007
57,ENSG00000097046
58,ENSG00000099910
59,ENSG00000100116
60,ENSG00000100124
61,ENSG00000100196
62,ENSG00000100418
63,ENSG00000100554
64,ENSG00000100596
65,ENSG00000100823
66,ENSG00000100982
67,ENSG00000101004
68,ENSG00000101115
69,ENSG00000101298
70,ENSG00000101457
71,ENSG00000101577
72,ENSG00000102057
73,ENSG00000102309
74,ENSG00000102699
75,ENSG00000102897
76,ENSG00000102908
77,ENSG00000103202
78,ENSG00000103479
79,ENSG00000103876
80,ENSG00000104047
81,ENSG00000104299
82,ENSG00000104332
83,ENSG00000104522
84,ENSG00000104679
85,ENSG00000104731
86,ENSG00000104979
87,ENSG00000105085
88,ENSG00000105176
89,ENSG00000105204
90,ENSG00000105427
91,ENSG00000105486
92,ENSG00000105559
93,ENSG00000105576
94,ENSG00000105642
95,ENSG00000106012
96,ENSG00000106013
97,ENSG00000106261
98,ENSG00000106344
99,ENSG00000107290
100,ENSG00000107295
101,ENSG00000107554
102,ENSG00000107581
103,ENSG00000108352
104,ENSG00000108424
105,ENSG00000108515
106,ENSG00000108592
107,ENSG00000108599
108,ENSG00000108651
109,ENSG00000108961
110,ENSG00000109107
111,ENSG00000109814
112,ENSG00000109929
113,ENSG00000110092
114,ENSG00000110104
115,ENSG00000111203
116,ENSG00000111231
117,ENSG00000111615
118,ENSG00000111653
119,ENSG00000112312
120,ENSG00000112365
121,ENSG00000112578
122,ENSG00000113460
123,ENSG00000114126
124,ENSG00000114737
125,ENSG00000115266
126,ENSG00000115604
127,ENSG00000115760
128,ENSG00000115841
129,ENSG00000116852
130,ENSG00000117000
131,ENSG00000117395
132,ENSG00000117419
133,ENSG00000119328
134,ENSG00000119446
135,ENSG00000119725
136,ENSG00000119950
137,ENSG00000120278
138,ENSG00000121690
139,ENSG00000121897
140,ENSG00000122035
141,ENSG00000122085
142,ENSG00000122545
